cafe_id,kakao_place_id,kakao_name,naver_place_id,naver_name,address,latitude,longitude,phone,rating,review_count,business_hours,close_hour,collected_reviews,place_kind,kakao_place_url,naver_map_url,name_similarity,match_status,straight_distance_m,distance_band,is_franchise,franchise_type
C001,507340095,커스텀커피 역북점,1764797627.0,커스텀커피 역북점,경기 용인시 처인구 명지로16번길 9-11,37.23344454359378,127.18713223273777,031-321-8662,4.79,933.0,08:40 ~ 23:00,23.0,12,restaurant,http://place.map.kakao.com/507340095,https://map.naver.com/p/entry/place/1764797627,1.0,matched,86,직선거리 300m 이내,0,개인카페
C004,554559796,밀크팜747,1070270722.0,밀크팜74.7,경기 용인시 처인구 명지로 24,37.23397204695048,127.18802266757662,031-335-8830,0.0,187.0,10:30 ~ 21:00,21.0,14,restaurant,http://place.map.kakao.com/554559796,https://map.naver.com/p/entry/place/1070270722,1.0,matched,103,직선거리 300m 이내,0,개인카페
C005,189776326,홀홀베이크샵,2025484015.0,홀홀베이크샵,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,,0.0,34.0,12:00 ~ 21:00,21.0,11,restaurant,http://place.map.kakao.com/189776326,https://map.naver.com/p/entry/place/2025484015,1.0,matched,103,직선거리 300m 이내,0,개인카페
C006,2082218328,달롱도르요거트아이스크림 역북점,1889295145.0,달롱도르 요거트 아이스크림 역북점,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,,0.0,6.0,16:00 ~ 02:00,26.0,6,restaurant,http://place.map.kakao.com/2082218328,https://map.naver.com/p/entry/place/1889295145,1.0,matched,103,직선거리 300m 이내,0,개인카페
C007,95154498,브라운리퀴드,1224940488.0,브라운리퀴드,경기 용인시 처인구 명지로16번길 9-11,37.233258918252,127.187138535349,,4.76,189.0,10:00 ~ 21:00,21.0,9,restaurant,http://place.map.kakao.com/95154498,https://map.naver.com/p/entry/place/1224940488,1.0,matched,107,직선거리 300m 이내,0,개인카페
C008,636039494,달다미로,1480248650.0,달다미로,경기 용인시 처인구 명지로16번길 26,37.23512586862744,127.18657743306396,010-2976-2622,5.0,208.0,12:30 ~ 19:00,19.0,11,restaurant,http://place.map.kakao.com/636039494,https://map.naver.com/p/entry/place/1480248650,1.0,matched,107,직선거리 300m 이내,0,개인카페
C011,42356985,더벤티 용인역북점,1482036986.0,더벤티 용인역북점,경기 용인시 처인구 명지로 24,37.23373647219192,127.18827563626373,031-334-9146,0.0,515.0,09:00 ~ 21:30,21.5,9,restaurant,http://place.map.kakao.com/42356985,https://map.naver.com/p/entry/place/1482036986,1.0,matched,132,직선거리 300m 이내,1,더벤티
C013,131712545,요거트월드 역북점,1787771281.0,요거트월드 역북점,경기 용인시 처인구 명지로40번길 16,37.232823919623,127.187007867661,,0.0,63.0,11:00 ~ 01:00,25.0,9,restaurant,http://place.map.kakao.com/131712545,https://map.naver.com/p/entry/place/1787771281,1.0,matched,153,직선거리 300m 이내,0,개인카페
C015,732862533,컴포즈커피 용인명지대점,1183157490.0,컴포즈커피 용인명지대점,경기 용인시 처인구 명지로40번길 16,37.23271485794658,127.1870301361,031-339-2151,4.63,992.0,09:00 ~ 18:00,18.0,6,restaurant,http://place.map.kakao.com/732862533,https://map.naver.com/p/entry/place/1183157490,1.0,matched,166,직선거리 300m 이내,1,컴포즈
C017,560353,공차 용인역북점,1742653002.0,공차 용인역북점,경기 용인시 처인구 명지로16번길 9-23,37.2330994821016,127.188244753013,031-321-0446,4.44,1628.0,10:00 ~ 22:00,22.0,7,restaurant,http://place.map.kakao.com/560353,https://map.naver.com/p/entry/place/1742653002,1.0,matched,171,직선거리 300m 이내,1,공차
C018,2099620703,러블리파이마카롱,1204840219.0,러블리 파이 마카롱,경기 용인시 처인구 명지로40번길 10,37.23266283398739,127.18745033732498,031-334-0010,4.34,371.0,10:30 ~ 22:00,22.0,10,restaurant,http://place.map.kakao.com/2099620703,https://map.naver.com/p/entry/place/1204840219,1.0,matched,178,직선거리 300m 이내,0,개인카페
C021,701653960,딸기가좋아 용인점,1184699820.0,딸기가좋아 용인점,경기 용인시 처인구 중부대로 1294,37.23547363952967,127.18830587562697,031-339-9686,4.5,1456.0,11:00 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/701653960,https://map.naver.com/p/entry/place/1184699820,1.0,matched,189,직선거리 300m 이내,0,개인카페
